"id","dane","tipoInstitucion","nombre","direccion","barrio","email1","rector","telefono","email2","localidad.id"
114,"211850000876","DISTRITAL","COL EL DESTINO (IED)","KM 8 VIA SAN JUAN DE SUMAPAZ","VEREDA LA REGADERA","cedeldestino5@redp.edu.co","IRMA ESPERANZA CAMELO DE MACHUCA","6392108 -- 6392112",,5
115,"211850000931","DISTRITAL","COL BRAZUELOS (IED)","CL 104 SUR # 1 B - 08","DESARROLLO BRAZUELOS I","cedbrazuelos5@redp.edu.co","GLORIA CECILIA MALAVER RAMIREZ","7671623",,5
116,"211850000981","DISTRITAL","COL EL UVAL (IED)","KM 8 AUTO AL LLANO VDA EL UVAL","EL UVAL","cedeluval5@redp.edu.co","MARIA LILIANA LOPEZ","3202345 -- 7614733 -- 3202345673 -- 3152560060",,5
117,"211850001481","DISTRITAL","COL FABIO LOZANO SIMONELLI (IED)","KR 4 ESTE # 65 - 31 SUR","PORVENIR","fabiolozanosimonelli@gmail.com","GRACIELA AMANDA DIAZ GUERRERO","7621132 -- 7621084",,5
118,"111001098833","DISTRITAL - CONCESION","COL COLSUBSIDIO SAN CAYETANO (CED)","CL 74 A SUR # 17 - 49 ESTE","JUAN REY","mauricio.aragon@colsubsidio.co","MAURICIO ARAGON DUCUARA","3653500",,5
119,"111001098841","DISTRITAL - CONCESION","COL DON BOSCO II (CED)","CL 96 A SUR # 1 - 01","YOMASA NORTE","cedbosco2@etb.net.co","FABIO HERNANDO ORTIZ MONTOYA","7642614 -- 7642617",,5
120,"111001098850","DISTRITAL - CONCESION","COL DON BOSCO IV (CED)","AC 91 SUR # 4 - 22 ESTE","CHUNIZA","cedbosco4@gmail.com","JAIRO SANABRIA TOVAR ","7626015",,5
121,"111001100081","DISTRITAL - CONCESION","COL MIRAVALLE (CED)","DG 76 SUR # 3 B - 30","MARICHUELA","info@alianzaeducativa.edu.co","CLAUDIA PATRICIA RINCON QUIJANO","7647410",,5
122,"111001102008","DISTRITAL - CONCESION","COL LA SALLE JUAN LUIS LONDOÑO (IED)","KR 1 C ESTE # 66 A - 20 SUR","EL PORVENIR","j3lasalle@yahoo.com","JAIRO ANTONIO HERNANDEZ JAUREGUI","7670800 -- 7733395",,5
123,"311001046689","PRIVADO - CONVENIO","LIC MAX PLANCK","CL 81 A SUR # 1 C - 22 ESTE","GRAN YOMASA","maxplanck_1enbogota@hotmail.com","LUIS HERNAN BARRIGA SALAMANCA","7627313",,5
124,"311001065357","PRIVADO - CONVENIO","COL ANDRES ESCOBAR","TV 1 A BIS ESTE # 55 A - 15 SUR","DANUBIO","coanes1@hotmail.com","JOSE GILDARDO PEÑA VALENZUELA","5678354 -- 5674933 -- 5678473",,5
125,"411001086561","PRIVADO","LIC MARANATA","DG 98 SUR # 5 I -52 ESTE","ALFONSO LOPEZ","maranata@007mundo.com","TOMASA RIVAS GIRON","7632616 -- 7733952",,5
126,"111001009652","DISTRITAL","COL CENT INTEGL JOSE MARIA CORDOBA (IED)","DG 48 B SUR # 24 B - 73","TUNAL ORIENTAL","coldijosemariacord6@redp.edu.co","GERMAN EDUARDO RINCON RINCON","7692587 -- 7698420 -- 7690294",,6
127,"111001010251","DISTRITAL","COL VENECIA (IED)","KR 55 # 49 - 25 SUR","VENECIA OCCIDENTAL","coldivenecia6@redp.edu.co","ALVARO HENRY CORREDOR ROJAS","2307050",,6
128,"111001011011","DISTRITAL","COL INST TEC INDUSTRIAL PILOTO (IED)","KR 35 # 51 B - 87 SUR","FATIMA","itindpiloto6@redp.edu.co","BEPCI YADIRA MINA ZAPATA","7410956 -- 7410958","y_yadiramina@hotmail.com",6
129,"111001012271","DISTRITAL","COL RAFAEL URIBE URIBE (IED)","KR 25 # 47 - 02 SUR","TUNAL ORIENTAL","coldirafaeluribeur6@redp.edu.co","RODRIGO MONTAÑEZ MORA","7130308 -- 7242191 -- 7242135 -- 2309420",,6
130,"111001014206","DISTRITAL","COL MARCO FIDEL SUAREZ (IED)","DG 52 SUR # 25 - 00","TUNAL ORIENTAL","coldimarcofidelsua6@redp.edu.co","MARCO AURELIO PARDO GRANADOS","2388713 -- 2304600 -- 2304300 -- 2700366",,6
131,"111001014214","DISTRITAL","COL CIUDAD DE BOGOTA (IED)","KR 25 # 53 B - 32 SUR","TUNAL ORIENTAL","cedciudadbogota6@gmail.com","AMANDA UBATE RUSINQUE","2307620 -- 2707792",,6
132,"111001018201","DISTRITAL","COL RUFINO JOSE CUERVO (IED)","KR 11 B # 52 - 53 SUR","ABRAHAM LINCOLN","escdirufinojosecue6@redp.edu.co","MARIA AMPARO ARIAS PARRA","7694936 -- 7604545",,6
133,"111001019411","DISTRITAL","COL INEM SANTIAGO PEREZ (IED)","KR 24 # 49 - 86 SUR","PARQUE EL TUNAL","inemsantiagoperez6@redp.edu.co","LINEY CONSTANZA ROJAS PACANCHIQUE","2790600 -- 2058723 -- 7603737",,6
134,"111001032450","DISTRITAL","COL BERNARDO JARAMILLO (IED)","DG 47 SUR # 19 B - 19","TUNAL ORIENTAL","cedbernardojarami18@redp.edu.co","ROSA NELLY MEDELLIN DE SUAREZ","2795386",,6
135,"111001075736","DISTRITAL","COL ISLA DEL SOL (IED)","CL 67 B SUR # 63 - 15","ISLA DEL SOL","cedisladelsol6@redp.edu.co","ISABEL ASTIASUAINZARRA GAITAN","7131213 -- 7132428","colegioisladelsol@gmail.com",6
136,"111001075957","DISTRITAL","COL SAN CARLOS (IED)","KR 18 # 56 A - 45 SUR","SAN CARLOS","escdijoseantoniori6@redp.edu.co","NELFA BELEN RINCON LEAL","7676178",,6
137,"111001086631","DISTRITAL","COL SAN BENITO ABAD (IED)","CL 58 SUR # 19 B - 67","SAN BENITO","ceddianaturbay6@redp.edu.co","JAVIER DARIO MAZABEL CORDOBA","2793585 -- 7146373",,6
138,"311001003971","PRIVADO","COL PARROQ SAN CARLOS","KR 18 A # 53 - 54 SUR","SAN CARLOS","cpsc45@hotmail.com","PORFIRIO RAMIREZ PAREDES Pbro","7606267 -- 7606256",,6
139,"311001005311","PRIVADO","COL PEDRO DE HEREDIA","KR 18 B # 56 - 09 SUR","SAN CARLOS","pedrodeheredia@etb.net.co","JORGE ELIECER AREVALO PINILLA","2796142 -- 2799710",,6
140,"311001008213","PRIVADO","COL COOP VENECIA","DG 47 A SUR # 53 A - 95","VENECIA","rectoria@cocove.edu.co ","GABRIEL ALBERTO RODRIGUEZ JIMENEZ","2305441 -- 2301155 -- 5635412","secretaria@cocove.edu.co",6
141,"311001088608","PRIVADO","LIC SANTA BERNARDITA","KR 54 # 52 - 56 SUR","VENECIA","liceosanta@gmail.com","MARIA LILIA MERCHAN VALENZUELA","2380310 -- 2045688","ijvilla@hotmail.com",6
142,"111001106950","DISTRITAL","COL ALFONSO LOPEZ MICHELSEN (IED)","KR 98 B # 74 - 68 SUR ","SAN BERNARDINO XIX","colalfonzolopezmiche@redp.edu.co","ERIKA DERLI GOMEZ GOMEZ ","3564974 -- 3564975 -- 3564976 -- 3564977 -- 3564978",,7
143,"111001104299","DISTRITAL","COL ALFONSO REYES ECHANDIA (IED)","KR 86 # 74 - 00 SUR","LOS LAURELES","iedalfonsoreyesechan@redp.edu.co","PEDRO IVAN CALDERON CASTAÑO","7804469",,7
144,"211102000995","DISTRITAL","COL BOSANOVA (IED)","CL 59 B SUR # 87 B - 02","BOSA NOVA EL PORVENIR","cedbosanova7@redp.edu.co ","JORGE HELI OVALLE","7839623 -- 7846415 -- 7839625",,7
145,"111001104329","DISTRITAL","COL CARLOS PIZARRO LEON GOMEZ (IED)","CL 72 SUR # 100 A - 71","SAN BERNARDINO XVII","iedcarlospizarroleon@redp.edu.co","NUBIA STELLA LANCHEROS ROLDAN ","7234591 -- 7234592 -- 7234593 -- 7234594 -- 7234595",,7
146,"111001107875","DISTRITAL","COL CIUDADELA EDUC DE BOSA (IED)","CL 52 SUR # 97 C - 35","PARCELA EL PORVENIR","colciudadelabosa@redp.edu.co","EFRAIN MORALES LOPEZ","4288697 -- 4288698 -- 4288699",,7
147,"111001107883","DISTRITAL","COL DEBORA ARANGO PEREZ (IED)","KR 84 A # 57 B - 04 SUR","LA PAZ BOSA","coldeboraarangoperez@redp.edu.co ","ANA VIRGINIA RODRIGUEZ DE SALINAS ","7330402 -- 7330403 -- 7330404 -- 7330405 -- 7330406","coldeborarango@gmail.com",7
148,"211102000243","DISTRITAL","COL EL PORVENIR (IED)","CL 51 SUR # 91 D - 56","OSORIO DIEZ","cedelporvenir7@redp.edu.co","LUIS HUMBERTO OLAYA","7845335 -- 7845372 -- 7845235 -- 7837165",,7
149,"111102000753","DISTRITAL","COL FERNANDO MAZUERA VILLEGAS (IED)","CL 68 A SUR # 80 H - 05","SAN PABLO BOSA","coldifernadomazue7@redp.edu.co","MIGUEL ANGEL SOLANO LEON ","7755195 -- 7755196 -- 7753195 -- 7801812 -- 7802529 -- 7802229",,7
150,"111102000621","DISTRITAL","COL FRANCISCO DE PAULA SANTANDER (IED)","CL 61 SUR # 80 I - 40","BOSA","escdifranciscodepa7@redp.edu.co ","MIGUEL ANTONIO TOLEDO RUIZ","7750473 -- 7807236","escdifranciscodepa7@gmail.com",7
151,"111001107832","DISTRITAL","COL GERMAN ARCINIEGAS (IED) ","KR 88 I # 54 B - 44 SUR ","EL PORTAL DEL BRASIL","colgermanarciniegas@redp.edu.co","SOR ANGELA MIRANDA BELTRAN ","4288997",,7
152,"111001046477","DISTRITAL","COL GRAN COLOMBIANO (IED)","CL 73 F SUR # 80 N BIS - 49","GRAN COLOMBIANO","coldigrancolombian7@redp.edu.co","NYDIA MARGOTH CAICEDO CUENCA","7192393 -- 7196611",,7
153,"111001046591","DISTRITAL","COL JOSE ANTONIO GALAN (IED)","KR 78 J # 58 M - 22 SUR ","JOSE ANTONIO GALAN","escdijoseantonioga7@redp.edu.co","MARLENY AMANDA SARMIENTO MANCIPE","7752586","iedjoseantoniogalan7@gmail.com",7
154,"111001106968","DISTRITAL","COL JOSE FRANCISCO SOCARRAS (IED)","KR 88 C # 66 A - 03 SUR ","SAN ANTONIO","coldisjosefrancsoc@redp.edu.co","ELIZABETH VIVAS RICAURTE","7238531 -- 7238469 -- 7238530","josefrancisco.socarras@gmail.com",7
155,"111001107867","DISTRITAL","COL KIMI PERNIA DOMICO (IED)","CL 82 SUR # 89 - 21","SAN BERNARDINO XVIII","kimyperniaied@redp.edu.co","AURA STELLA CASTRO PEDRAZA €","7834346 -- 7834326 -- 7834256 -- 7834249",,7
156,"111001086754","DISTRITAL","COL LA CONCEPCION (CED)","KR 87 K # 69 - 40 SUR ","CHICO SUR","cedlaconcepcion7@redp.edu.co","YOLIMA INGRITH LEGUIZAMON PAEZ","7855718",,7
157,"111001104183","DISTRITAL","COL LEONARDO POSADA PEDRAZA (IED)","KR 92 # 72 - 42 SUR","SAN BERNARDINO XVII","iedleoposaped@redp.edu.co","HECTOR EDUARDO RODRIGUEZ BELTRAN ","7234586 -- 7234587 -- 7234588 -- 7234589 -- 7234590",,7
158,"111001086606","DISTRITAL","COL LLANO ORIENTAL (IED)","CL 73 B SUR # 78 A BIS - 15","JOSE MARIA CARBONELL","cedllanooriental7@redp.edu.co","JOSE GONZALO HERNANDEZ VELASQUEZ","7808458 -- 7809113 -- 7808114 -- 7196644",,7
159,"111102000265","DISTRITAL","COL LUIS LOPEZ DE MESA (IED)","CL 65 H SUR # 78 A - 03 ","LA ESTACION BOSA","cedluislopezdemes7@redp.edu.co","LUCY ZAMORA DE GARCIA","7750440 -- 7794793 -- 7786365",,7
160,"111001104302","DISTRITAL","COL ORLANDO HIGUITA ROJAS (IED)","CL 57 SUR # 87 H - 03","ESCOCIA","colorlandohiguitaroj@redp.edu.co","IBETH YAMILE RODRIGUEZ ANGARITA","7859237 -- 7859189 -- 7859206 -- 7859265",,7
161,"111102000281","DISTRITAL","COL PABLO DE TARSO (IED)","CL 66 SUR # 78 J - 02","SAN PABLO I SECTOR BOSA","cedpablodetarso7@redp.edu.co","ERIKA LOZANO MEDINA ","7803081  --  7803083  --  7751576",,7
162,"111102000958","DISTRITAL","COL PORFIRIO BARBA JACOB (IED)","CL 70 A SUR # 81 G - 13","PASO ANCHO","cedporfiriobarbaj7@redp.edu.co","CARLOS ORLANDO RAMIREZ MENDEZ ","7792214 -- 7782103",,7
163,"211102000201","DISTRITAL","COL SAN BERNARDINO (IED)","KR 87 B # 79 C - 51 SUR ","EL REMANSO","cedsanbernardino7@redp.edu.co","WILLIAM GUILLERMO JIMENEZ AGUDELO ","7842029 -- 7842035 -- 7837204",,7
164,"211001076958","DISTRITAL","COL VILLAS DEL PROGRESO (IED)","KR 89 A BIS # 72 A - 13 SUR","VILLAS DEL PROGRESO","escdivillasdelprog7@redp.edu.co","LUIS JOSE FORERO RUIZ ","7835563 -- 7759081",,7
165,"111001002909","DISTRITAL","COL CARLOS ALBAN HOLGUIN (IED)","CL 72 SUR # 79 D - 33","EL RETAZO","cedcarlosalbanhol7@redp.edu.co","ADRIANA MORA JIMENEZ","7752059 -- 7775671",,7
166,"111001010031","DISTRITAL","COL CEDID SAN PABLO (IED)","KR 77 L # 65 J - 73 SUR","LA ESTACION BOSA","cedidsanpablobosa7@redp.edu.co","BLANCA LILIA SANCHEZ BOHORQUEZ","7751161 -- 7757545 -- 7757545 -- 7765276",,7
167,"111001013676","DISTRITAL","COL NUEVO CHILE (IED)","CL 56 SUR # 72 G - 20","CEMENTERIO JARDINES APOGEO","cednvochile7@redp.edu.co","RICHARD JOHN LADINO LADINO","7806307 -- 7824775 -- 7878247",,7
168,"111001014109","DISTRITAL","COL BRASILIA - BOSA (IED)","CL 52 A SUR # 87 D - 45","BRASILIA","cedbrasilia7@redp.edu.co","NANCY FERNANDEZ RINCON","7831779 -- 7830816 -- 7831943 -- 7832058 -- 7832725",,7
169,"111001100064","DISTRITAL - CONCESION","COL ARGELIA - BANCO POPULAR (CED)","CL 60 S # 89 A - 12 ","BOSA ARGELIA","info@alianzaeducativa.edu.co","DANIEL FERNANDO RODRIGUEZ QUINTERO","7807352 -- 7751187",,7
170,"111001098876","DISTRITAL - CONCESION","COL CAFAM LA ESPERANZA (CED)","CL 77 A SUR # 86 - 40 ","SAN DIEGO BOSA","iedlaesperanza@cafam.com.co","CARLOS ARTURO MOLINA BERNAL ","7400914 -- 7405947",,7
171,"111001098884","DISTRITAL - CONCESION","COL CAFAM LOS NARANJOS (CED)","KR 80 M # 71 C - 31 SUR","LOS NARANJOS","cafamnaranjos@yahoo.com.ar","DIANA DEL PILAR RODRIGUEZ DIAZ ","7829531",,7
172,"111001104051","DISTRITAL - CONCESION","COL FE Y ALEGRIA SAN IGNACIO (IED)","CL 56 F SUR # 91 D - 14","SAN MIGUEL","sanignacio@feyalegria.org.co","MERCEDES KALIL RINCON","5797771 -- 5797596",,7
173,"111001100072","DISTRITAL - CONCESION","COL LA LIBERTAD - SANTIAGO DE LAS ATALAYAS (CED)","CL 61 SUR # 103 - 33","BOSA LA LIBERTAD","info@alianzaeducativa.edu.co","ASDRUBAL HUMBERTO ARIAS RAMOS","7844024 -- 7844020 -- 7837172",,7
174,"311001035300","PRIVADO - CONVENIO","COL BILING REINO UNIDO","KR 70 A # 56 A - 04 SUR","VILLA DEL RIO","bilinguereinounido@hotmail.com","GLORIA YOLANDA GACHA USAQUEN","2047787 -- 2049115 -- 7105969 -- 2705594","cbru@etb.net.co",7
175,"311001036292","PRIVADO","COL ANDRES ROSILLO","CL 65 C SUR # 78 A - 23","ESTACION BOSA","colandres@hotmail.com","LUZ STELLA ECHEVERRY CARDENAS","7760263",,7
176,"311001047839","PRIVADO - CONVENIO","CENT EDUC WILFREDO LEHNER","CL 65 G SUR # 77 J - 10 ESTE","BOSA AZUCENA","wilfredolehner@yahoo.es","EDGAR DAVID FERNANDEZ PEREZ","7195503",,7
177,"311001065039","PRIVADO - CONVENIO","COL COLOMBO JAPONES","CL 63 SUR # 77 M - 66","BOSA CENTRAL","int_coljap@hotmail.com","MARLEN JACQUELINE GONZALEZ RONCANCIO","7803873 -- 7803870",,7
178,"311001087555","PRIVADO","COL PSICOPEDAG EL FUTURO DE VILLA DEL RIO","CL 55 A SUR # 63 - 58 ","APOGEO","comunidadfuturista@yahoo.com","MARTHA ROCIO FUENTES MARTINEZ","7111615 -- 2388880",,7
179,"311001089191","PRIVADO - CONVENIO","INST TEC COMERCIAL MARMATOS","KR 78 C # 73 B - 36 SUR","BOSA CENTRAL","marbosa1@yahoo.es","CARMEN LUCIA SALINAS PAEZ","7763870",,7
180,"311001096414","PRIVADO - CONVENIO","LIC  CULT LOPEZ OSORIO","CL 71 SUR # 87 N - 15","BOSA OCCIDENTAL","liceolopezosorio@hotmail.com","OMAR LOPEZ VILLAMARIN","5738522 -- 7852958",,7
181,"311001097640","PRIVADO - CONVENIO","LIC  NUEVOS HORIZONTES","CL 56 SUR # 88 F - 35","BOSA OCCIDENTAL","horizontes99@yahoo.com","HORTENCIA OTALORA OTALORA","7851205",,7
182,"311001107165","PRIVADO","LIC MODERNO BETANIA","KR 87 # 51 B - 36 SUR","BOSA OCCIDENTAL","licbetania@yahoo.com","JAIME GOMEZ VARGAS","4061407",,7
183,"311102000086","PRIVADO - CONVENIO","COL EL LIBERTADOR","CL 61 SUR # 80 H - 40","BOSA CENTRAL","colibertador@hotmail.com  ","OSWALDO MARTINEZ CARDOZO","7751327 -- 7750289","colibertador@yahoo.com",7
184,"111001086649","DISTRITAL","COL ALFONSO LOPEZ PUMAREJO (IED)","KR 72 G # 39 - 57 SUR","LA CAMPIÑA","iedalfonsolopezp8@hotmail.com","GERARDO VALCARCEL ACOSTA","7133578 -- 7133579 -- 7107101 -- 7107068 -- 5635748",,8
185,"111001016098","DISTRITAL","COL ALQUERIA DE LA FRAGUA (IED)","CL 37 B SUR # 68 D - 93","ALQUERIA LA FRAGUA","cedalquerialafrag8@redp.edu.co","LUIS EDUARDO HERNANDEZ CARVAJAL","2047573","colafragua@gmail.com",8
186,"111001000124","DISTRITAL","COL CARLOS ARANGO VELEZ (IED)","KR 70 B # 24 B - 35 SUR","PROVIVIENDA ORIENTAL","coldicarlosarangov8@redp.edu.co","MARYIN SACHICA CIPRIAM ","4140218 -- 4140223",,8
187,"111001011321","DISTRITAL","COL CARLOS ARTURO TORRES (IED)","TV 72 B # 44 C - 19 SUR","DELICIAS","coldicarlosarturot8@redp.edu.co","FLOR STELLA GARCIA CASTILLO","2381171 -- 7410946 -- 2043143",,8
188,"111001076767","DISTRITAL","COL CASTILLA (IED)","KR 78 C # 8 A - 43","CASTILLA","cednvacastilla8@redp.edu.co","EMILSON ORTIZ ROJAS","2923167 -- 4126624 -- 4126625 -- 4126626 -- 4117589",,8
189,"111001013129","DISTRITAL","COL CLASS (IED)","KR 80 I # 57 B - 50 SUR","CLASS","cedclass8@redp.edu.co","JASMINE ASCENCION AGUDELO VILLEGAS ","7779699 -- 7764943",,8
190,"111001104558","DISTRITAL","COL CODEMA (IED)","CL 2 # 93 - 28","OSORIO III","inseducodema@redp.edu.co","PAULO AUGUSTO QUEVEDO SERRANO ","4484613/14/15/16","paulocodema@gmail.com",8
191,"111001001279","DISTRITAL","COL DARIO ECHANDIA (IED)","CL 5 A SUR # 88 B - 08","PATIO BONITO III","coldidarioechandia8@redp.edu.co","VIRGINIA NADER DE MAYORGA ","4522825 -- 4521381 -- 4522723",,8
192,"111001098906","DISTRITAL","COL EDUARDO UMAÑA LUNA (IED) ","KR 93 A # 42 A - 37 SUR","DINDALITO","ceddindalito8@redp.edu.co","ZENEN ROJAS CORONEL","2640276 -- 4545955",,8
193,"111001012360","DISTRITAL","COL EL JAPON (IED)","KR 78 G # 38 C - 11 SUR","CIUDAD KENNEDY CENTRAL","cedeljapon8@redp.edu.co","HECTOR ALVARO SILVA TOLOZA","2732515 -- 2939648 -- 2939499 -- 4036380 -- 4518084",,8
194,"111001014974","DISTRITAL","COL FRANCISCO DE MIRANDA (IED)","DG 41 SUR # 73 A - 80","TIMIZA B","cedfranciscodemir8@redp.edu.co","MARIO ERNESTO MORALES ","2651415 -- 2651409 -- 2736252",,8
195,"111001104281","DISTRITAL","COL GABRIEL BETANCOURT MEJIA (IED)","KR 87 A # 6 A - 23 ","TINTALA","coldigabemjia@redp.edu.co","DUMER ANTONIO PEDRAZA ORDOÑEZ","4505733 -- 4505679 -- 4837039 -- 4541944",,8
196,"111001106984","DISTRITAL","COL GUSTAVO ROJAS PINILLA (IED)","CL 11 B # 80 B - 61","VERGEL OCCIDENTAL","colgeneralgustavoroj@redp.edu.co","JANETT RODRIGUEZ VILLAMIL","2923536",,8
197,"111001024732","DISTRITAL","COL INEM FRANCISCO DE PAULA SANTANDER (IED)","CL 38 C SUR # 79 - 08","CIUDAD KENNEDY NORTE","inemfranciscodepau8@redp.edu.co","JORGE ALFONSO PEREZ GUTIERREZ","2652285 -- 2646508 -- 2731166 -- 2652392",,8
198,"111001086771","DISTRITAL","COL INST TEC RODRIGO DE TRIANA (IED)","CL 38 SUR # 89 - 81","EL PARAISO BOSA","cedrodrigodetrian8@redp.edu.co","HAROLD GIOVANNY LEYVA QUESADA","2933380 -- 2933416 -- 2933393",,8
199,"111001016071","DISTRITAL","COL ISABEL II (IED)","DG 2 D # 79 C - 83","CIUDAD KENNEDY NORTE","cedisabelii8@redp.edu.co","FELIX ESTEBAN ALARCON CUALLA","2928295 -- 4127405 -- 4127471",,8
200,"111001027405","DISTRITAL","COL JAIRO ANIBAL NIÑO (CED)","KR 87 H BIS # 39 A - 23 SUR","PATIO BONITO II","cedpatiobonito8@yahoo.com","RUTH CLEMENCIA DIAZ PENAGOS ","2658459 -- 4527019","clerudy7@yahoo.es",8
201,"111001026964","DISTRITAL","COL JOHN F KENNEDY (IED)","KR 74 B # 38 A - 33 SUR ","CIUDAD KENNEDY ORIENTAL","cedbasjohnfkenned8@redp.edu.co","JAIRO IGNACIO ACOSTA DIAZ","2647376 -- 2650770 -- 2731960 EXT 103/106",,8
202,"111001016292","DISTRITAL","COL KENNEDY (IED)","CL 5 SUR # 72 A - 69 ","CIUDAD KENNEDY","coldikennedy8@redp.edu.co","CARLOS ALFONSO RODRIGUEZ HERRERA","2656288 -- 2656299 -- 2738266",,8
203,"111001011690","DISTRITAL","COL LA AMISTAD (IED)","KR 78 # 35 - 30 SUR","CIUDAD KENNEDY ORIENTAL","coldilaamistad8@redp.edu.co","MANUEL ENRIQUE PEREZ MORENO","2930278",,8
204,"111001016136","DISTRITAL","COL LA CHUCUA (IED)","KR 72 I # 42 F - 54 SUR","RENANIA URAPANES","escdilachucua8@redp.edu.co","DOLLY CONTO DE LOBOGUERRERO ","7411836",,8
205,"111001034045","DISTRITAL","COL LA FLORESTA SUR (IED)","KR 68 B BIS # 1 - 09 SUR","HIPOTECHO SUR","cedlaflorestasur8@redp.edu.co","MARCO AURELIO SALDAÑA VARGAS ","4461691",,8
206,"111001015598","DISTRITAL","COL LAS AMERICAS (IED)","KR 73 C BIS # 38 C - 84 SUR","TIMIZA","ubaslasamericas8@redp.edu.co","JAIRO ALBERTO RAMOS BERMUDEZ ","4501089",,8
207,"111001016101","DISTRITAL","COL LOS PERIODISTAS (IED)","CL 41 C SUR # 78 H - 85","CIUDAD KENNEDY SUR","cedlosperiodistas8@redp.edu.co","ELMA SERENA FLORIAN CORTES","2733262 -- 2732505 -- 2731787 -- 4541545 -- 4501169",,8
208,"111001027391","DISTRITAL","COL MANUEL CEPEDA VARGAS (IED)","CL 56 SUR # 81 - 26","GRAN BRITALIA","cedbritalia8@redp.edu.co","MIGUEL LUBIN MILLAN RUIZ ","7763393 -- 7820397 -- 7771571",,8
209,"111001014290","DISTRITAL","COL MARSELLA (IED)","KR 69 # 7 - 90","MARSELLA","cedmarsella8@redp.edu.co","SOCORRO LOPEZ IZQUIERDO","4202341 -- 4202399",,8
210,"111001010910","DISTRITAL","COL NAL NICOLAS ESGUERRA (IED)","CL 9 C # 68 - 52","LUSITANIA","colnanicolasesguer8@redp.edu.co","ARTURO  VARELA MORALES","4201216 -- 2604981 -- 2607388 -- 2605043",,8
211,"111001024660","DISTRITAL","COL NUEVO KENNEDY (IED) - FERNANDO SOTO APARICIO","KR 73 A BIS B # 36 - 47 SUR ","CIUDAD KENNEDY ORIENTAL","coldinvokennedy8@redp.edu.co","GLADYS ESTHER CASTRO DE RAMOS","2650340 -- 4515930 -- 4515931 -- 4515934",,8
212,"111001015601","DISTRITAL","COL OEA (IED)","KR 72 L # 34 - 19 SUR","PROVIVIENDA OCCIDENTAL","cedoea8@redp.edu.co","ESILDA DOLORES TEJEDA VASQUEZ","4527015 -- 4527016 -- 5630829 -- 2734831",,8
213,"111001033898","DISTRITAL","COL PATIO BONITO II (IED)","CL 1 BIS # 87 - 84 ","PATIO BONITO ","cedpatiobonitoii8@redp.edu.co","MARIA DEL PILAR TENJO PEÑUELA","4507825 -- 4512817",,8
214,"111001013153","DISTRITAL","COL PAULO VI (IED)","KR 78 P # 41 - 20 SUR","CIUDAD KENNEDY SUR","cedpaulovi8@redp.edu.co","JOSE DEMETRIO ESPINOSA HORTUA ","2738032 -- 4942845 -- 2730151",,8
215,"111001027308","DISTRITAL","COL PROSPERO PINZON (IED)","CL 35 C SUR # 78 F - 81","CIUDAD KENNEDY CENTRAL","cedprosperopinzon8@redp.edu.co","HECTOR FERNANDO RAMIREZ HIDALGO ","2649970",,8
216,"111001107778","DISTRITAL","COL SALUDCOOP SUR (IED)","AK 89 # 26 - 03 SUR","CALANDAIMA","iedsaludcoopsur@redp.edu.co","RAQUEL LOPEZ RICAURTE ","2653248 -- 4514169 -- 6040647 -- 6044148",,8
217,"111001013161","DISTRITAL","COL SAN JOSE (IED)","CL 42 A SUR # 79 D - 37","CIUDAD KENNEDY OCCIDENTAL","cedsanjose8@redp.edu.co","CRUZ MARLENY MOGOLLON CARVAJAL","4549361 -- 2733020 -- 2646098 -- 4030445 -- 4030446",,8
218,"111001102083","DISTRITAL","COL SAN JOSE DE CASTILLA (IED)","CL 7 C # 78 F - 20 ","CASTILLA","cedvisiondecolomb8@redp.edu.co","GILMA AGUEDA GARCIA TORRES","4110023 -- 4111835 -- 4117126","insdicastilla8@redp.edu.co",8
219,"111001013102","DISTRITAL","COL SAN PEDRO CLAVER (IED)","KR 79 C # 41 B - 51 SUR","CIUDAD KENNEDY OCCIDENTAL","cedsanpedroclaver8@redp.edu.co","NORMA ALEJANDRA DIAZ ROJAS ","2644566 -- 4940748","alejandradiazrectora@gmail.com",8
220,"111001013170","DISTRITAL","COL SAN RAFAEL (IED)","CL 42 B SUR # 78 I - 05","CIUDAD KENNEDY SUR","escdisanrafael8@redp.edu.co","DORIS CARO CARO","4523281 -- 4523267 -- 4524612 -- 2734729",,8
221,"111001012343","DISTRITAL","COL TOM ADAMS (IED)","CL 40 J SUR # 78 - 08","CIUDAD KENNEDY CENTRAL","cedtomadams8@redp.edu.co","EDILBERTO MUÑETONES CIFUENTES ","2997139 -- 2730340 -- 4537387",,8
222,"111001079154","DISTRITAL","COL VILLA RICA (IED)","KR 77 K BIS A # 50 - 26 SUR","CATALINA","cedvillarica8@redp.edu.co","LUIS CARLOS GALEANO BUENAVENTURA","4536063 -- 2995148",,8
223,"111001098892","DISTRITAL - CONCESION","COL CAFAM BELLAVISTA (CED)","CL 40 SUR # 94 C - 50","BELLAVISTA PATIO BONITO KENNEDY","bellavistacedcafam@yahoo.com.co","MIGUEL HUMBERTO HERRERA REINA","2935332","luz_carmen@yahoo.com",8
224,"111001100048","DISTRITAL - CONCESION","COL HERNANDO DURAN DUSAN (CED)","CL 42 F SUR # 88 A - 25","DINDALITO","chdd.rectoria@etb.net.co","JUDITH CECILIA GARCIA RUSSO","5734388 -- 5734377",,8
